question,answer
what is python,Python is a high-level interpreted programming language known for its simple and readable syntax. It supports multiple programming paradigms including procedural object-oriented and functional programming.
what is a variable in python,A variable in Python is a named container that stores a value. You create one by writing name = value. Python is dynamically typed so you don't need to declare the type explicitly.
what is a list in python,A list is an ordered mutable collection of items. You create one with square brackets: my_list = [1 2 3]. Lists can hold mixed data types and support indexing slicing and iteration.
what is a tuple in python,A tuple is an ordered immutable collection. Created with parentheses: t = (1 2 3). Unlike lists tuples cannot be modified after creation making them useful for fixed data.
what is a dictionary in python,A dictionary is an unordered collection of key-value pairs. Created with curly braces: d = {'name': 'Alice' 'age': 25}. Keys must be unique and immutable.
what is a set in python,A set is an unordered collection of unique elements. Created with curly braces: s = {1 2 3}. Sets automatically remove duplicates and support union intersection and difference operations.
what is a function in python,A function is a reusable block of code defined using the def keyword. Example: def greet(name): return f'Hello {name}'. Functions help avoid repetition and improve code organization.
what is a class in python,A class is a blueprint for creating objects. It bundles data (attributes) and behavior (methods) together. Defined using the class keyword. Example: class Dog: def __init__(self name): self.name = name
what is inheritance in python,Inheritance allows a class to inherit attributes and methods from another class. The child class extends the parent class. Example: class Labrador(Dog): pass — Labrador inherits everything from Dog.
what is polymorphism in python,Polymorphism means different objects can respond to the same method in different ways. For example a speak() method on a Dog and Cat class can produce different outputs while being called the same way.
what is encapsulation in python,Encapsulation is the bundling of data and methods that operate on that data within a class while restricting direct access to internal details. In Python this is done using underscore prefixes like _private or __mangled.
what is abstraction in python,Abstraction hides complex implementation details and shows only the necessary features. In Python this is done using the abc module with abstract base classes and @abstractmethod decorators.
what is a lambda function,A lambda function is an anonymous single-expression function. Syntax: lambda args: expression. Example: square = lambda x: x**2. Useful for short throwaway functions especially in map filter and sorted.
what is map in python,map() applies a function to every item in an iterable and returns a map object. Example: list(map(lambda x: x*2 [1 2 3])) returns [2 4 6]. It avoids explicit loops.
what is filter in python,filter() filters items from an iterable based on a function that returns True or False. Example: list(filter(lambda x: x > 2 [1 2 3 4])) returns [3 4].
what is reduce in python,reduce() from functools applies a function cumulatively to items of an iterable. Example: reduce(lambda x y: x+y [1 2 3 4]) returns 10 by computing ((1+2)+3)+4.
what is a decorator in python,A decorator is a function that wraps another function to extend its behavior without modifying it. Defined with @decorator_name above a function definition. Commonly used for logging authentication and timing.
what is a generator in python,A generator is a function that yields values one at a time using the yield keyword instead of return. It is memory efficient because it produces items lazily on demand rather than storing them all in memory.
what is yield in python,yield is used inside a generator function to produce a value and pause execution. Each call to next() resumes from where it paused. This makes generators memory-efficient for large datasets.
what is a context manager in python,A context manager manages resources like files or database connections using the with statement. It ensures proper setup and cleanup. Example: with open('file.txt') as f: data = f.read()
what is list comprehension,List comprehension is a concise way to create lists. Syntax: [expression for item in iterable if condition]. Example: [x**2 for x in range(10) if x%2==0] creates a list of even squares.
